YEAR,MONTH,MOSQUITO_VALUE_PARK
2020,06,75.79333333333334
2020,07,72.66451612903225
2020,08,87.98709677419355
2020,09,68.5125
2020,10,29.42258064516129
2020,11,21.6
2020,12,21.6
2021,01,19.953125
2021,02,0.3793103448275862
2021,03,3.1314285714285717
2021,04,19.13030303030303
2021,05,28.36060606060606
2021,06,51.303030303030305
2021,07,73.12285714285714
2021,08,68.8029411764706
2021,09,53.906060606060606
2021,10,30.2
2021,11,7.113333333333333
2021,12,0.02903225806451613
2022,01,0.0
2022,02,0.0
2022,03,2.096875
2022,04,20.086666666666666
2022,05,33.165625
2022,06,54.52333333333333
2022,07,66.9258064516129
2022,08,59.483870967741936
2022,09,48.803225806451614
2022,10,25.374193548387098
2022,11,13.503225806451614
2022,12,0.0064516129032258064
2023,01,0.0
2023,02,0.0
2023,03,13.338709677419354
2023,04,36.166666666666664
2023,05,28.038709677419355
2023,06,40.7
